Ticker,Margin
TATACONSUM.NS,0.076009996
CIPLA.NS,0.13939999
INDUSTOWER.NS,0.21989
ZYDUSLIFE.NS,0.18565
LUPIN.NS,0.19073999
MAXHEALTH.NS,0.17226
DRREDDY.NS,0.12755999
MARICO.NS,0.12945
AMBUJACEM.NS,0.1163
JSWENERGY.NS,0.11847
INDHOTEL.NS,0.20916
GODREJCP.NS,0.12264
MAZDOCK.NS,0.19863
MANKIND.NS,0.13397999
HEROMOTOCO.NS,0.12109999
LLOYDSME.NS,0.2148
ABCAPITAL.NS,0.116450004
BHARATFORG.NS,0.06422
UNITDSPR.NS,0.14743
RECLTD.NS,0.70553
ICICIGI.NS,0.10264
ASHOKLEY.NS,0.06158
LODHA.NS,0.20557
SHREECEM.NS,0.1453
WAAREEENER.NS,0.13986
IDBI.NS,0.43376
LENSKART.NS,0.055999998
NYKAA.NS,0.0199
AUROPHARMA.NS,0.10414
OFSS.NS,0.34401
HINDPETRO.NS,0.041050002
SUZLON.NS,0.18966
NTPCGREEN.NS,0.18283
SRF.NS,0.11625
ATGL.NS,0.11124
FEDERALBNK.NS,0.29906
MEESHO.NS,-0.107530005
YESBANK.NS,0.22045
NMDC.NS,0.23231001
AUBANK.NS,0.21372999
LAURUSLABS.NS,0.13046
NHPC.NS,0.32421002
DIXON.NS,0.02944
NAM-INDIA.NS,0.52143
POLICYBZR.NS,0.09861
PERSISTENT.NS,0.12646
DABUR.NS,0.14364
BHARTIHEXA.NS,0.18529
SAIL.NS,0.030439999
INDUSINDBK.NS,0.05158
HAVELLS.NS,0.075040005
BAJAJHFL.NS,0.61533
FORTIS.NS,0.11413
ICICIPRULI.NS,0.025510002
TORNTPOWER.NS,0.08342
LTF.NS,0.33077
MCX.NS,0.54818
PAYTM.NS,0.06554
MAHABANK.NS,0.52362
NATIONALUM.NS,0.32489
OIL.NS,0.19500999
IDFCFIRSTB.NS,0.32775003
SCHAEFFLER.NS,0.12031
IOB.NS,0.37493
BIOCON.NS,0.022780001
PHOENIXLTD.NS,0.27671
BANKINDIA.NS,0.31886
SWIGGY.NS,-0.18019
APARINDS.NS,0.042659998
COFORGE.NS,0.094840005
GICRE.NS,0.18268
PRESTIGE.NS,0.094239995
UNOMINDA.NS,0.060900003
JSWINFRA.NS,0.28412
ALKEM.NS,0.15645
